MASTER_CAMPAIGN_ID,MEDIA_TYPE,EXPOSED
i2c1507187a,"Entrance Gates1, Six Sheets1, TV Wall1",165625
i2c1507187a,"Entrance Gates1, Six Sheets1",190537
i2c1507187a,"Six Sheets1, TV Wall1",290512
i2c1507187a,Entrance Gates1,337250
i2c1507187a,Six Sheets1,466779
i2c1507187a,"Entrance Gates1, TV Wall1",870664
i2c1507187a,TV Wall1,2904972
i2c1509134a,Other,27659
i2c1509134a,JS Magazine1,76070
i2c1509134a,"JS Magazine1, TV Wall1",116302
i2c1509134a,Six Sheets1,264647
i2c1509134a,"Six Sheets1, TV Wall1",528380
i2c1509134a,TV Wall1,3640153
i2c1510047a,"Instore Sampling1, Six Sheets1, Instore Sampling2",12015
i2c1510047a,"JS Magazine1, Six Sheets1, JS Magazine2",12449
i2c1510047a,"Instore Sampling1, Six Sheets1, Instore Sampling3",16050
i2c1510047a,Instore Sampling3,16853
i2c1510047a,"JS Magazine1, Six Sheets1",17309
i2c1510047a,Instore Sampling1,27515
i2c1510047a,JS Magazine2,41791
i2c1510047a,Other,57384
i2c1510047a,"JS Magazine1, JS Magazine2",59632
i2c1510047a,"Six Sheets1, Instore Sampling2",88318
i2c1510047a,"Six Sheets1, Instore Sampling3",99174
i2c1510047a,JS Magazine1,111689
i2c1510047a,"Instore Sampling1, Six Sheets1",179508
i2c1510047a,Six Sheets1,906831
