MASTER_CAMPAIGN_ID,CAMPAIGN_NAME,SUPPLIER,BRAND,CATEGORY,NPD,MEDIA_COST
"ALAN_TEST","Pernod Ricard (Comms) - Jacobs Creek ryvita","Pernod Ricard UK Ltd","Jacobs Creek","BEERS, WINES & SPIRITS",0,0
"i2c1509070a","Mizkan Haywards relaunch cycle 12/13","Mizkan Europe Ltd","Haywards","CANNED & PACKAGED",0,0
"i2c1509111a","Kleenex YTG Promo Support Plan","Kimberly Clark Ltd","Kleenex","HOUSEHOLD & PETCARE",0,0
"i2cLYNX111","Lynx Weekly report","Unilever UK Ltd","Lynx","BABY & BEAUTY",1,0
"i2cLYNX222","Lynx Weekly report","Unilever UK Ltd","Lynx","BABY & BEAUTY",1,0
"i2cLYNX333","Lynx Weekly report","Unilever UK Ltd","Lynx","BABY & BEAUTY",1,0
"i2cLYNX444","Lynx Weekly report","Unilever UK Ltd","Lynx","BABY & BEAUTY",1,0
"i2cLYNX555","Lynx Weekly report","Unilever UK Ltd","Lynx","BABY & BEAUTY",1,0
"i2cLYNX666","Lynx Weekly report","Unilever UK Ltd","Lynx","BABY & BEAUTY",1,0
"i2cLYNX777","Lynx Weekly report","Unilever UK Ltd","Lynx","BABY & BEAUTY",1,0
"i2cLYNX888","Lynx Weekly report","Unilever UK Ltd","Lynx","BABY & BEAUTY",1,0
"i2c1510062a","Courvoissior Xmas Campaign","Maxxium","Courvoisier","BEERS, WINES & SPIRITS",0,1150
"i2c1507074aM","Laughing Dog launch","FOLD HILL ","FOLD HILL ","HOUSEHOLD & PETCARE",0,4208
"i2c1504091aM","Sheba Display Pg","Mars Petcare UK","Sheba","HOUSEHOLD & PETCARE",0,4250
"i2c1505029aM","Bonne Maman cakes","Eurobrand Partners","Bonne Maman","BAKERY & CAFES",0,5500
"i2c1506063aM","Kellys Composite","R&R ","Kellys","FROZEN FOOD",0,5500
"i2c1504050aM","Thai Taste 1/2 page","Bespoke Foods","Thai Taste","CANNED & PACKAGED",0,6000
"i2c1505074aM","Heinz Cup Soup ","Heinz Food Ltd","Heinz","CANNED & PACKAGED",0,6000
"i2c1506014aM","KC -Pull Ups","Kimberly Clark","Huggies","BABY & BEAUTY",0,6000
"i2c1516KC0M","Huggies wipes","Kimberly Clark","Huggies","BABY & BEAUTY",0,6000
"i2c1516KC0M1","KC - DryNites","Kimberly Clark","Huggies","BABY & BEAUTY",0,6000
"i2c1537AH0a","Campofrio pate sampling Sep","Campofrio","Campofrio","FRESH FOOD COUNTERS",1,7230
"i2c1537AH0a","Campofrio pate sampling Sep","Campofrio","Campofrio","MEAL SOLUTIONS",1,7230
"i2c1508254a","Superheroes pouches & bars launch","Ellas Kitchen (Brands) Ltd","Ellas Kitchen (Brands) Ltd Brand(s)","CANNED & PACKAGED",1,7760
"i2c1504021aM","Adults go free","Kelloggs","Kelloggs","CANNED & PACKAGED",0,8200
"i2c1504021aM","Adults go free","Kelloggs","Kelloggs","IMPULSE FOOD",0,8200
"i2c1504065aM","Coke Icon","Coca Cola Enterprises Ltd","Coca Cola","IMPULSE FOOD",0,8200
"i2c1506058aM","Poligrip magazine","GSK","Poligrip","BABY & BEAUTY",0,8200
"i2c1511069a","Philly in the New Year","Mondelez UK Limited","Philadelphia","DAIRY",0,8200
"i2c1505012aM","PF Pouch NPD","Yoplait ","Petit Filous","DAIRY",1,8200
"i2c1504064aM","The Health Lottery","Health Lottery","health lottery","EXCLUDED SALES",0,10000
"i2c1506032M1","Lotus Biscuits","Lotus","Lotus","IMPULSE FOOD",0,10000
"i2c1506032M2","Lotus Biscuits","Lotus ","Lotus","CANNED & PACKAGED",0,10000
"i2c1510136a","Cafedirect pods and roast & ground support","Cafe Direct plc","Cafe Direct Coffee","CANNED & PACKAGED",1,10000
"i2c1509142a","Delegat  Wines sampling Dec 15","Delegats Wine Estate","Delegat Wines","BEERS, WINES & SPIRITS",0,11125
"i2c15FAIFE","link up with TU","Procter & Gamble UK","Procter & Gamble UK Brand(s)","HOUSEHOLD & PETCARE",0,11845
"i2c15FAINB","link up with TU","Procter & Gamble UK","Procter & Gamble UK Brand(s)","HOUSEHOLD & PETCARE",0,11845
"i2c1509067a","Jacobs Cracker Crisps Sampling ","United Biscuits","United Biscuits Brand(s)","IMPULSE FOOD",0,12200
"i2c1509029a","Britvic Halloween Sampling 29th October","Britvic Soft Drinks Ltd","J2O","IMPULSE FOOD",0,12625
"i2c1509131a","J20 Christmas Dec 19th Sampling","Britvic Soft Drinks Ltd","J2O","IMPULSE FOOD",0,12625
"i2c1508042a","Magners - Magners Summer Support","Magners GB","Magners","BEERS, WINES & SPIRITS",0,13000
"i2c1509004a","Philly Cheesecake","Mondelez UK Limited","Cadbury","DAIRY",0,14760
"i2c1509004a2","Philly Cheesecake","Mondelez UK Limited","Cadbury","DAIRY",0,14760
"i2c1511028a","own label cheese and meat consortium Jan","JS","JS","DAIRY",0,15050
"i2c1511028a","own label cheese and meat consortium Jan","JS","JS","MEAT, FISH & POULTRY",0,15050
"i2c1509101a","Mountain Dew Sampling","Britvic Soft Drinks Ltd","Mountain Dew","IMPULSE FOOD",0,15700
"i2c1509124a","Cow & Gate Jars Support","Nutricia Ltd","Cow & Gate","BABY & BEAUTY",0,16000
"i2c1508206a","Nestle - Nesquik Milk Media 2015","Nestle Finance Services Centre","Nestle Nesquik","CANNED & PACKAGED",0,16500
"i2c1507204a","O/L Meat and Cheese Consortium - sampling","JS","JS","DAIRY",0,16870
"i2c1507204a","O/L Meat and Cheese Consortium - sampling","JS","JS","MEAT, FISH & POULTRY",0,16870
"i2c1507210a","Italia Formaggi - o/l parmesan shavings sampling","Italia Formaggi Ltd","JS Parmesan","DAIRY",0,16870
"i2c1504028aM","Tena Lady Competition","SCA","Tena","BABY & BEAUTY",0,17000
"i2c1509106a","Pampers & Now TV link up","Procter & Gamble UK","Pampers","BABY & BEAUTY",0,17500
"i2c1509106a2","Pampers & Now TV link up","Procter & Gamble UK","Pampers","BABY & BEAUTY",0,17500
"i2c1508179a","Codorniu Cuvee Win a trip to Barcelona","Codorniu Winery","Codorniu","BEERS, WINES & SPIRITS",0,17575
"i2c1508179a","Codorniu Cuvee Win a trip to Barcelona","Codorniu Winery","Codorniu","SEASONAL & OUTDOOR",0,17575
