MASTER_CAMPAIGN_ID,PRODUCT,METRIC,PP_RESULTS
"i2c1510006a","Aisle        ","sales_growth  ",-0.070000
"i2c1510006a","JS Own Label ","category_share",0.259000
"i2c1509010a","Kallo     ","category_share",0.006000
"i2c1510145a","Jacobs    ","average_spend ",314772.880000
"i2cNEW-TOOL","Rest of Cat","average_spend ",2282868.970000
"i2cNEW-TOOL","Fosters   ","category_share",0.187000
"i2c1509144a","JS          ","sales_growth  ",-0.061000
"i2c1508206a","Offer     ","sales_growth  ",-0.557000
"i2c1509107a3","Rest of Cat","average_spend ",36039.390000
"i2c1509107a3","Persil     ","average_spend ",14012.140000
"i2c1509107aF","Rest of Cat","category_share",0.599000
"i2c1509107aF","Offer     ","average_spend ",162725.180000
"i2c1509107aA","Aisle     ","category_share",1.000000
"i2c1509107a4","Offer         ","average_spend ",36614.780000
"i2c1508254a","JS        ","sales_growth  ",0.016000
"i2c1509107a5","Dettol    ","category_share",0.007000
"i2c1508040a","JS        ","average_spend ",114789.070000
"i2c1508040a","Offer        ","sales_growth  ",0.998000
"i2c1508040a","Carefree  ","sales_growth  ",0.008000
"i2c1509030a","Cadburymilktray","average_spend ",62712.610000
"i2cLYNX444","Total Roll-On                 ","average_spend ",56166.270000
"i2c1506063aM","JS        ","category_share",0.211000
"i2c1506014aM","NATURE    ","category_share",0.016000
"i2c1507192a","Rest of Cat","category_share",0.544000
"i2c1506032M2","Bonne Maman","category_share",0.008000
"i2c1508061a","JS        ","sales_growth  ",0.075000
"i2c1505012aM","Yollies   ","sales_growth  ",0.000000
"i2c1504021aM","NESTLE    ","sales_growth  ",-0.036000
"i2c1506032M2","Nutella    ","category_share",0.849000
"i2c1504050aM","Rest of Cat","average_spend ",103419.210000
"i2c1506063aM","CARTEDIOR ","sales_growth  ",-0.188000
"i2c1506032M2","Aisle     ","average_spend ",119844.980000
"i2c1506032M2","Offer     ","sales_growth  ",0.064000
"i2c1506058aM","Aisle      ","category_share",1.000000
"i2c1504050aM","Aisle     ","average_spend ",500100.830000
"i2c1535KE0","Offer     ","average_spend ",183777.390000
"i2c1508013a","Offer     ","sales_growth  ",0.000000
"i2c1508204a","JS          ","sales_growth  ",0.078000
"i2c1508204a","Rest of Cat","average_spend ",44363.650000
"i2c1507074aM","Aisle     ","sales_growth  ",0.019000
"i2c1504028aM","Brand     ","category_share",0.372000
"i2c1516KC0M","Offer     ","average_spend ",28074.280000
"i2c1506058aM","Brand       ","sales_growth  ",-0.050000
"i2c1508061a","CHEESTRINGS ","category_share",0.067000
"i2c1505074aM","BATCHELOR     ","sales_growth  ",0.565000
"i2c1504091aM","Gourmet   ","category_share",0.398000
"i2c1516KC0M","JS        ","category_share",0.354000
"i2c1507192a","Cheestrings","average_spend ",70610.250000
"i2c1504021aM","Aisle      ","sales_growth  ",-0.069000
"i2c1505012aM","Offer     ","sales_growth  ",-0.161000
"i2c1508204a","VIMTO     ","category_share",0.012000
"i2c1507173a","Rest of Cat","average_spend ",407293.660000
"i2c1508061a","DAIRYLEA    ","average_spend ",189133.670000
"i2c1508061a","MINI BABYBEL","category_share",0.133000
"i2c1507173a","Aisle      ","category_share",1.000000
"i2c1506058aM","JS        ","sales_growth  ",-0.209000
"i2c1516KC0M1","JS        ","category_share",0.300000
"i2c1508013a","Brand      ","sales_growth  ",-0.113000
"i2c1507203a","Irnbru    ","average_spend ",94590.470000
"i2c1507203a","JS        ","category_share",0.063000
"i2c1510051a","Offer        ","sales_growth  ",1.990000
"i2c1510051a","Brand        ","category_share",0.733000
"i2c1510051a","Lurpack      ","sales_growth  ",-0.946000
"i2c1509018a","Aisle               ","average_spend ",2115468.460000
"i2c1511028a","Aisle                         ","average_spend ",500184.940000
"i2c1511028a","Rest of Cat","category_share",0.017000
"i2c1511028a","Offer     ","average_spend ",13349.730000
"i2c1507156a","Offer     ","sales_growth  ",-0.038000
