MASTER_CAMPAIGN_ID,MEDIA_TYPE,EXPOSED
"i2cFAIDHDWV4","Total",2443916
"i2c1508061a","Other",152437
"i2c1509125a","JS Magazine1, TV Wall1",102760
"i2cHSV4","Six Sheets1",1740166
"i2c1510020a2","JS Magazine2",40422
"i2cFAIDADWV2","Six Sheets1, Six Sheets2",944989
"i2cLENUNV2","Six Sheets1",308929
"i2cFAIDHDWV4","Six Sheets2",1498926
"i2cFABREV4","Six Sheets1, Six Sheets2",149802
"i2c1510051a","Other",234471
"i2c1507156a","JS Magazine1",56250
"i2c1511015a","Six Sheets1",597875
"TEST_JD2","Milk Media1, Six Sheets1",30868
"TEST_JD2","Mobile1",57218
"i2c1509125a","Six Sheets1",427968
"i2c1509069a","Instore Sampling1, Instore Sampling2",25038
"i2c1509107aA","Six Sheets1, Six Sheets2",334631
"i2c1510020a","Entrance Gates1, Trolleys1, Trolleys2",76549
"TEST_JD","JS Magazine1, Milk Media1",11783
"i2c1510020a","Total",3280292
"i2c1510013a","Total",1536318
"i2cLYNX666","Total",2923867
"i2c1505029aM","Total",209641
"i2c1535KE0","Total",423949
"i2c1507030a","Six Sheets1, Instore Sampling2",86685
"i2cOLAYV2","Entrance Gates1, Six Sheets1",131900
"i2c1509125a2","JS Magazine1",72721
"i2c1508223a","Instore Sampling4",132436
"i2c1510046a","Other",21338
"i2c1510006a","Instore Sampling1",372670
"i2cHSV2","Total",1740188
"i2c1512022P","Total",2610173
"i2c1509107a7","Total",1101469
"i2c1508254a","Instore Sampling1",60612
"i2c1509107a5","Six Sheets1",738258
"i2c1509107aL","Six Sheets3",154356
"i2cLENORV4","Six Sheets1",308931
"i2c1509125a2","Instore Sampling4",13137
"i2c1509070a","Other",15998
"i2c1601020a","Other",64132
"TEST_JD2","Six Sheets1",561316
"i2c1510003aG","Six Sheets1",1459932
"i2c1506014aM","JS Magazine",115425
"i2c1504091aM","JS Magazine",129019
"i2c1507030a","Six Sheets1",1565938
"i2cORALBV4","Six Sheets2",37222
"i2c1511005a","Entrance Gates1, Six Sheets1",228241
"i2c1507192a","Instore Sampling1",243671
"i2c1510047a","JS Magazine1, JS Magazine2",59632
"i2c1509125a","TV Wall1",3333787
"i2c1510003a2","Entrance Gates1",1584275
"i2c1510020a2","Entrance Gates1, Trolleys2",69092
"i2c1509016a2","Six Sheets1",1793669
"i2c1510003a1","Total",2084339
"i2c1507212a","Total",243780
"i2c1507209a","Total",530046
"i2c1507030a","Instore Sampling1",71530
"i2cFABREV2","Six Sheets1, Six Sheets2",149805
"i2cOLAYV2","Six Sheets1",590166
"i2cLENORV4","Six Sheets1, Six Sheets2",281332
"i2c1507161a","Six Sheets1",725971
"i2c1509106a2","Entrance Gates1, Six Sheets1",1060959
"i2c1508265a","Six Sheets1, Six Sheets2",870686
"i2cFAIDHDWV3","Six Sheets2",1498923
"i2cLYNX333","TV Wall1",2261358
"i2c1510020a","JS Magazine2, JS Magazine3",40421
"i2c1508206a","Total",220744
"i2cLYNX888","Total",3251099
"TEST_JD2","Total",2462763
"i2cOLAYV4","Total",1839364
"i2c1506032M1","Total",139439
"i2c1508118a","Total",2362752
"i2cLENORV2","Total",817942
"i2c1509046a","Other",131525
"i2c1508281a","Instore Sampling2",264650
"i2c1510033a","Six Sheets1",946582
"i2c1510020a2","JS Magazine1",94292
"i2c1509144a","Instore Sampling1",124666
"i2c1509111a2","Six Sheets2",2374776
"i2c1510047a","Instore Sampling1, Six Sheets1",179508
"i2c1511015a","Six Sheets1, Six Sheets2",37030
"i2c1507187a","Six Sheets1, TV Wall1",290512
"i2c1509016a","JS Magazine1, Six Sheets1",14190
"i2cNEW-TOOL","Entrance Gates1, JS Magazine1, TV Wall1",59823
"ALAN_TEST","Total",1469060
"i2c1509106a2","Total",4804650
"i2cORALBV2","Six Sheets1",869827
"i2c1506063aM","JS Magazine",139439
"i2c1504064aM","JS Magazine",129019
"i2c1537AH0a","Instore Sampling",100029
"i2c1507156a","JS Magazine1, Six Sheets1",11962
"i2c1507095a","Trolleys1, TV Wall1",1223164
"i2c1507187a","Entrance Gates1, Six Sheets1",190537
"i2c1509111a","Six Sheets2",676648
"ALAN_TEST","JS Magazine1",172291
"i2c1507210a","Instore Sampling2",114692
"i2cFAIDHDWV2","Six Sheets1, Six Sheets2",944989
"i2cORALBV4","Entrance Gates1, Six Sheets1, Six Sheets2",180514
"i2c1507161a","JS Magazine1",145338
"i2c1507141a","Six Sheets1, Trolleys1",708625
"i2c1511135a","Instore Sampling1, Six Sheets1",105974
"i2c1510108a","TV Wall1, Instore Sampling3",19695
"i2c1509010a","Instore Sampling1",252290
"i2cLYNX555","TV Wall1",2713060
"i2c1508203a","Total",616447
"i2c1509107aA","Total",1391503
"i2c1510003a3","Total",2156779
"i2c1510003a2","Total",3194047
"i2c1509042a","Total",519872
"i2cFAIDHDWV2","Total",944989
"i2c1508252a","Total",1698477
"i2c1509004a","Total",220029
"i2c1508137a","Total",1670199
"i2c1537AH0a","Total",100029
"i2cLENORV4","Six Sheets2",227682
"i2c1505012aM","JS Magazine",209641
"i2cLYNX666","TV Wall1",2923867
"i2c1508265a","Six Sheets2, Six Sheets3",108633
"i2c1510062a","Other",36761
"i2c1511015a","TV Wall1, Six Sheets2",263438
"i2c1511015a","Six Sheets1, Trolleys1, TV Wall1, Six Sheets2",745872
"TEST_JD2","Six Sheets1, Six Sheets2",42970
"i2c1510061a","Total",1082040
"i2c1505012aM","Total",209641
"i2cFABREV4","Six Sheets1",520160
"i2c1510041a","JS Magazine1",135192
"i2c1511015a","Entrance Gates1, Six Sheets1, Trolleys1, TV Wall1",41985
"i2c1511015a","Six Sheets1, Trolleys1",25836
"i2c1510047a","JS Magazine1",111689
"i2c1510047a","Six Sheets1, Instore Sampling3",99174
"i2c1507156a","JS Magazine1, TV Wall1",71671
"i2c1510054a","Other",305801
"i2c1509144a","Instore Sampling1, Instore Sampling2, Instore Sampling2, Instore Sampling2",26340
"i2c1509107a5","Total",1289796
"i2c1508257aS","Total",220031
"i2c1509022a","Instore Sampling1",135341
"i2c1511005a","Other",38863
"i2c1509134a","JS Magazine1, TV Wall1",116302
"i2c1507209a","Other",18132
"i2c1509070a","Instore Sampling1, Instore Sampling2",29234
"i2c1511015a","Trolleys1, Six Sheets2",96403
"i2cGILLEV4","Six Sheets1",1459919
"TEST_JD","Total",2462763
"i2c1512046a","Total",1818961
"i2cGILLEV4","Total",1459919
"i2c1509107a1","Six Sheets3",154356
"i2cFAIFEV2","Six Sheets1",685768
"i2c1509022a","Other",140078
"i2cNEW-TOOL","Entrance Gates1",907701
"i2c1507161a","JS Magazine1, Six Sheets1, Car Park Posters1",43647
"i2c1509116a","Other",21070
"i2c1511015a","Trolleys1, TV Wall1",70943
"i2c1512047a","Six Sheets1, Trolleys1",209986
"i2c1506014aM","Total",115425
"i2c1509016a","Total",5038785
"i2c1510008a","Total",1937143
"i2c1509101a","Total",112157
"i2c1509018a","JS Magazine1, Six Sheets1",37937
"i2c1509061a","Entrance Gates1, JS Magazine1",19502
"i2c1510033a","TV Wall2",905856
"i2c1508186a","Entrance Gates1",1091063
"i2c15FAIFE","Six Sheets1, TV Wall1",331060
"i2c1511015a","Entrance Gates1",427393
"i2c1507187a","Entrance Gates1, TV Wall1",870664
"i2c1512047a","Trolleys1",1849174
"i2c1509004a","JS Magazine1",220029
"i2c1510020a2","Entrance Gates1, Trolleys1",139627
"i2c1508250a","Total",1204884
"i2c1509107a3","Six Sheets1",13143
"i2c1509107a6","Six Sheets1",1101469
"i2c1509125a2","Instore Sampling1, TV Wall1",18662
"i2c1510047a","JS Magazine1, Six Sheets1, JS Magazine2",12449
"i2cFAIDHDWV3","Six Sheets1, Six Sheets2",944989
"i2c1509125a","JS Magazine1, Six Sheets1, TV Wall1",24835
"i2c1507095a","JS Magazine1, TV Wall1",58007
"i2c1509101a","Instore Sampling1",112157
"i2c1509111a2","Total",2374776
"i2c1509131a","Instore Sampling1, Instore Sampling1",237449
"i2c1511005a","Six Sheets1",720796
"i2c1509125a2","JS Magazine1, Six Sheets1, TV Wall1",24833
"i2c1505074aM","JS Magazine",209641
"i2c1509125a","Six Sheets1, TV Wall1",610648
"i2c1509107a2","Six Sheets2",1001763
"i2c1510020a","Other",76912
"i2cBRAUNV4","Total",2116642
"i2cORALBV2","Total",2037229
"i2c1504050aM","Total",129019
"i2c1508042a","JS Magazine1, TV Wall1",128033
"i2c1509061a","Entrance Gates1, JS Magazine1, TV Wall1",59376
"i2c1510116a","Instore Sampling1",83397
"i2cFAIFEV4","Six Sheets1",685771
"i2c1510033a","TV Wall1, TV Wall2",2054771
"TEST_JD","Mobile1",57218
"i2c1511015a","Six Sheets1, Trolleys1, Six Sheets2",162557
"i2c1507151a","Total",668679
"i2cLYNX777","Total",3122494
"i2c1509107a1","Total",582970
"i2c1508186a2","Total",2711596
"i2c1509046a","Instore Sampling2",136056
"i2c1509134a","Six Sheets1, TV Wall1",528380
"i2c1509134a","JS Magazine1",76070
"i2cORALBV4","Entrance Gates1, Six Sheets1",230979
"TEST_JD2","JS Magazine1, Six Sheets1",20057
"i2c1510003a2","Other",23636
"i2c1510003a2","Entrance Gates1, Six Sheets1",443856
"i2c1510046a","Instore Sampling2, Instore Sampling3",12121
"i2c1509144a","Instore Sampling2, Instore Sampling2, Instore Sampling2",279983
"i2cGILLEV2","Total",1459949
"i2c1510003aV","Total",1276307
"i2c1504064aM","Total",129019
"i2c1509107a1","Six Sheets1, Six Sheets2",334657
"i2c1509061a","Entrance Gates1",892270
"i2cLENUNV4","Six Sheets2",227682
"i2c1511135a","Six Sheets1",978076
"i2c1510047a","Six Sheets1",906831
"i2c1508206a","Milk Media1",220744
"i2c1508186a","Total",2711527
"i2cARIALV2","Six Sheets1, Six Sheets2",281329
"i2c1507203a","Trolleys1",1405253
"i2c1509107aL","Six Sheets1, Six Sheets2",334657
"i2c1510033a","TV Wall1",1000207
"i2c1508124a","Instore Sampling1",191387
"i2c1509070a","Instore Sampling2",407716
"i2c1509014a","Entrance Gates1, Instore Sampling1",50375
"i2c1509116a","Instore Sampling2",106475
"i2c1509106a","Six Sheets1",4772869
"i2c1511015a","Six Sheets1, Trolleys1, TV Wall1",156995
"i2c1508265a","Six Sheets1",711528
"i2c1535KE0","Other",170776
"i2c1511015a","Six Sheets2",32530
"i2c1509016a","JS Magazine1, TV Wall1",85864
"i2c1509142a","Other",71147
"i2c1509069a","Instore Sampling2",134615
"i2c1510007a","Instore Sampling2",33958
"i2c1509142a","Instore Sampling2",70990
"i2c1507030a","Instore Sampling1, Six Sheets1",69114
"i2c1509018a","Instore Sampling1",81648
"i2c1509107a7","Six Sheets1",1101469
"i2cORALBV4","Six Sheets1, Six Sheets2",315431
"i2c1509111a","TV Wall1, Six Sheets2",569966
"i2c1507181a","Six Sheets",1758504
"i2cLENORV2","Six Sheets2",227684
"i2c1509107a2","Six Sheets1",328883
"i2c1507151a","Six Sheets1",668679
"i2cGILLEV2","Six Sheets1",1459949
"i2cFABREV4","Six Sheets2",366524
"i2c1509004a2","JS Magazine1",220029
"i2cLYNX777","TV Wall1",3122494
"i2c1508186a2","Entrance Gates1, Trolleys1",385681
"i2c1511015a","Entrance Gates1, Six Sheets1, TV Wall1, Six Sheets2",136735
"i2c1508034a","Six Sheets1",492621
"i2c1508107a","Total",1787509
"i2c1507030a","Total",2099359
"i2c1507076a","Instore Sampling1",108827
"i2c1508107a","Six Sheets1",1626158
"i2c1509030a","Six Sheets1",1307361
"i2c1516KC0M1","JS Magazine",115425
"i2c1509125a","JS Magazine1, Six Sheets1",11879
"i2c1509042a","Six Sheets1",519872
"i2c1507095a","TV Wall1",2813565
"i2c1510020a","Entrance Gates1, JS Magazine1",16205
"TEST_JD","JS Magazine1, Six Sheets1",20057
"i2c1510136a","Total",135192
"i2c1509002a","Total",460338
"i2c1509107a4","Six Sheets2",1446996
"i2c1509061a","TV Wall1",2395737
"i2cFLASHV2","Six Sheets1",1057372
"i2cARIALV2","Six Sheets1",308929
