MASTER_CAMPAIGN_ID,MEDIA,START_DATE,END_DATE,EVALUATE
"i2c1508254a","Instore Sampling1",2015-10-25,2015-10-25,1
"i2c1508257a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1510008a","Six Sheets1",2015-10-18,2015-10-31,1
"i2c1509016a2","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509016a2","Six Sheets1",2015-11-18,2015-12-01,1
"i2c1508265a","Six Sheets2",2015-09-21,2015-10-04,1
"i2c1508265a","Six Sheets3",2015-09-21,2015-10-04,1
"i2c1508265a","Six Sheets1",2015-09-21,2015-10-04,1
"i2c1505029aM","JS Magazine1",2015-05-04,2015-06-02,1
"i2c1509010a","Instore Sampling1",2015-10-17,2015-10-18,1
"i2c1509107a4","Six Sheets2",2015-10-05,2015-10-18,1
"i2c1509107a4","Six Sheets1",2015-10-05,2015-10-18,1
"i2c1512047a","Six Sheets1",2015-12-09,2015-12-22,1
"i2c1512047a","Trolleys1",2015-12-09,2015-12-29,1
"i2c1509048a","Instore Sampling1",2015-11-13,2015-11-13,1
"i2cLENUNV4","Six Sheets2",2015-11-02,2015-11-15,1
"i2cLENUNV4","Six Sheets1",2015-11-02,2015-11-15,1
"i2cBRAUNV4","Six Sheets1",2015-11-16,2015-11-29,1
"i2cBRAUNV2","Six Sheets1",2015-11-16,2015-11-29,1
"i2c1516KC0M1","JS Magazine1",2015-06-30,2015-07-28,1
"i2cGILLEV4","Six Sheets1",2015-12-14,2016-01-03,1
"i2c1507156a","Six Sheets1",2015-09-21,2015-10-04,1
"i2c1507156a","JS Magazine1",2015-09-29,2015-10-27,1
"i2c1507156a","TV Wall1",2015-09-16,2015-10-06,1
"i2c1507141a","Trolleys1",2015-09-16,2015-10-06,1
"i2c1507141a","Six Sheets1",2015-09-21,2015-10-04,1
"i2c1510003aG","Six Sheets1",2015-12-14,2016-01-03,1
"i2c1504050aM","JS Magazine1",2015-04-07,2015-05-05,1
"i2c1509002a","Instore Sampling1",2015-08-26,2015-08-30,1
"i2c1512022P","TV Wall1",2016-01-20,2016-02-02,1
"i2c1512022P","Six Sheets1",2016-01-18,2016-01-31,1
"i2c1510046a","Instore Sampling2",2015-12-13,2015-12-13,1
"i2c1510046a","Instore Sampling5",2015-12-15,2015-12-15,1
"i2c1510046a","Instore Sampling1",2015-12-10,2015-12-10,1
"i2c1510046a","Instore Sampling3",2015-12-12,2015-12-12,1
"i2c1510046a","Instore Sampling4",2015-12-14,2015-12-14,1
"i2c1510020a","Entrance Gates1",2016-01-20,2016-02-02,1
"i2c1510020a","JS Magazine2",2016-01-01,2016-02-01,1
"i2c1510020a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1510020a","JS Magazine3",2016-01-01,2016-02-01,1
"i2c1510020a","Trolleys1",2015-11-18,2015-12-08,1
"i2c1510020a","Trolleys2",2015-12-30,2016-01-19,1
"i2cFAIDHDWV2","Six Sheets1",2015-10-05,2015-10-18,1
"i2cFAIDHDWV2","Six Sheets2",2015-10-05,2015-10-18,1
"i2c1507161a","Six Sheets1",2015-09-21,2015-10-04,1
"i2c1507161a","Car Park Posters1",2015-09-21,2015-10-04,1
"i2c1507161a","JS Magazine1",2015-08-24,2015-09-29,1
"i2c1508206a","Milk Media1",2015-10-28,2015-11-03,1
"i2cLENORV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2cLENORV2","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1508186a","Entrance Gates1",2015-10-28,2015-11-17,1
"i2c1508186a","Trolleys1",2015-10-28,2015-11-17,1
"i2c1504028aM","JS Magazine1",2015-04-07,2015-05-05,1
"i2c1506032M1","JS Magazine1",2015-06-02,2015-06-30,1
"i2c1510108a","Instore Sampling1",2015-11-27,2015-11-27,1
"i2c1510108a","Instore Sampling5",2015-12-10,2015-12-10,1
"i2c1510108a","Instore Sampling2",2015-12-05,2015-12-05,1
"i2c1510108a","Instore Sampling4",2015-12-08,2015-12-08,1
"i2c1510108a","Instore Sampling3",2015-12-06,2015-12-06,1
"i2c1510108a","TV Wall1",2015-11-18,2015-12-08,1
"i2c1508252a","Instore Sampling1",2015-10-08,2015-10-13,1
"i2c1509124a","Six Sheets1",2015-11-16,2015-11-29,1
"i2cLYNX333","TV Wall1",2016-02-07,2016-02-27,1
"i2c1510007a","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1510007a","Instore Sampling1",2015-10-29,2015-10-29,1
"i2c1510007a","Instore Sampling2",2015-10-30,2015-10-30,1
"i2c1507212a","Instore Sampling1",2015-12-12,2015-12-12,1
"i2c1507212a","Instore Sampling4",2015-12-17,2015-12-17,1
"i2c1507212a","Instore Sampling2",2015-12-14,2015-12-14,1
"i2c1507212a","Instore Sampling3",2015-12-15,2015-12-15,1
"i2cNEW-TOOL","TV Wall1",2015-10-28,2015-11-17,1
"i2cNEW-TOOL","Entrance Gates1",2015-10-28,2015-11-17,1
"i2cNEW-TOOL","JS Magazine1",2015-10-27,2015-12-01,1
"i2cLENORV4","Six Sheets2",2015-11-02,2015-11-15,1
"i2cLENORV4","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1511103a","Six Sheets1",2015-12-14,2015-12-27,1
"i2c1508169a2","Instore Sampling1",2015-10-30,2015-10-30,1
"i2c1537AH0a","Instore Sampling1",2015-09-26,2015-09-26,1
"i2c1509004a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c15FAIFE","Six Sheets1",2016-01-18,2016-01-31,1
"i2c15FAIFE","TV Wall1",2016-01-20,2016-02-02,1
"i2c1535KE0","Milk Media1",2015-09-02,2015-09-09,1
"i2c1535KE0","JS Magazine1",2015-08-24,2015-09-29,1
"i2c1509004a2","JS Magazine1",2015-10-27,2015-12-01,1
"ALAN_TEST","Email1",2015-11-01,2015-11-18,1
"ALAN_TEST","JS Magazine1",2015-10-27,2015-12-01,1
"ALAN_TEST","Trolleys1",2015-10-28,2015-11-17,1
"i2c1508118a","Six Sheets1",2015-11-16,2015-11-29,1
"i2c1509016a","TV Wall1",2015-11-18,2015-12-08,1
"i2c1509016a","Six Sheets1",2015-11-18,2015-12-01,1
"i2c1509016a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1516KC0M","JS Magazine1",2015-06-02,2015-06-30,1
"i2cFAINBV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509107a6","Six Sheets1",2015-11-02,2015-11-15,1
"i2cVENUSV4","Six Sheets1",2015-12-14,2016-01-03,1
"i2c1508257aS","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509125a2","Instore Sampling2",2015-12-10,2015-12-10,1
"i2c1509125a2","Instore Sampling4",2015-12-09,2015-12-09,1
"i2c1509125a2","Instore Sampling3",2015-12-16,2015-12-16,1
"i2c1509125a2","Instore Sampling5",2015-12-15,2015-12-15,1
"i2c1509125a2","Instore Sampling1",2015-12-08,2015-12-08,1
"i2c1509125a2","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509125a2","TV Wall1",2015-10-28,2015-11-17,1
"i2c1509125a2","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1506058aM","JS Magazine1",2015-06-30,2015-07-28,1
"i2c1512024a","Entrance Gates1",2015-12-30,2016-01-19,1
"i2c1504064aM","JS Magazine1",2015-04-07,2015-05-05,1
"i2cFABREV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2cFABREV2","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1509134a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509134a","TV Wall1",2015-10-28,2015-11-17,1
"i2c1509134a","Six Sheets1",2015-11-02,2015-11-15,1
"i2cARIALV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2cARIALV2","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1507209a","Instore Sampling3",2015-11-09,2015-11-09,1
"i2c1507209a","Instore Sampling4",2015-11-10,2015-11-10,1
"i2c1507209a","Instore Sampling1",2015-11-07,2015-11-07,1
"i2c1507209a","Instore Sampling2",2015-11-08,2015-11-08,1
"i2c1509042a","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509070a","Instore Sampling1",2015-11-08,2015-11-08,1
"i2c1509070a","Instore Sampling2",2015-12-18,2015-12-18,1
"i2c1509070a","JS Magazine1",2015-12-01,2015-12-24,1
