MASTER_CAMPAIGN_ID,MEDIA_TYPE,OBJ_PRIORITY,OBJECTIVE,METRIC,PRODUCT,TIMEPERIOD,EXPOSED
"i2c1508169a2","Total",3,"Grow awareness","OTS - unique","Offer",2,490570.000000
"i2c1509029a","Total",3,"Grow awareness","OTS         ","Offer",2,595668.000000
"i2c1508169a2","Total",3,"Grow awareness","OTS         ","Offer",2,893160.000000
"i2c1508179a","Total",1,"Grow awareness","OTS         ","Offer",2,447395.000000
"i2c1509101a","Instore Sampling1",3,"Grow awareness","OTS         ","Offer",2,206581.000000
"i2c1510020a2","JS Magazine1",1,"Grow awareness","OTS         ","Offer",2,264830.000000
"i2c1510020a2","JS Magazine1",1,"Grow awareness","OTS - unique","Offer",2,220443.000000
"i2c1511005a","Instore Sampling3",1,"Grow awareness","OTS         ","Offer",2,8048.000000
"i2c1511135a","Instore Sampling1",2,"Grow awareness","OTS         ","Offer",2,465493.000000
"i2c1510047a","JS Magazine2",2,"Grow awareness","OTS         ","Offer",2,159847.000000
"i2c1507203a","Trolleys1",3,"Grow awareness","OTS         ","Offer",2,7986617.000000
"i2c1510020a2","Total",1,"Grow awareness","OTS - unique","Offer",2,5039340.000000
"i2c1511005a","Total",1,"Grow awareness","OTS - unique","Offer",2,3427237.000000
"i2cLYNX111","Total",3,"Grow awareness","OTS         ","Offer",2,3853403.000000
"i2cLYNX222","Total",3,"Grow awareness","OTS - unique","Offer",2,2295745.000000
"i2cLYNX666","Total",3,"Grow awareness","OTS - unique","Offer",2,3535619.000000
"i2c1507076a","Take Home Barker1",3,"Grow awareness","OTS         ","Offer",2,1862359.000000
"i2c1507076a","Instore Sampling2",3,"Grow awareness","OTS - unique","Offer",2,71311.000000
"i2c1509067a","Instore Sampling3",1,"Grow awareness","OTS - unique","Offer",2,7161.000000
"i2c1509067a","Instore Sampling4",1,"Grow awareness","OTS - unique","Offer",2,2925.000000
"i2c1510116a","Instore Sampling1",2,"Grow awareness","OTS         ","Offer",2,200354.000000
"i2c1510116a","Instore Sampling3",2,"Grow awareness","OTS         ","Offer",2,136168.000000
"i2c1510116a","Instore Sampling4",2,"Grow awareness","OTS - unique","Offer",2,9359.000000
"i2c1511103a","Six Sheets1",3,"Grow awareness","OTS         ","Offer",2,4820190.000000
"i2c1511005a","Six Sheets1",1,"Grow awareness","OTS         ","Offer",2,4138443.000000
"i2cLYNX333","TV Wall1",3,"Grow awareness","OTS         ","Offer",2,11335716.000000
"i2c1508179a","JS Magazine1",1,"Grow awareness","OTS - unique","Offer",2,220443.000000
"i2c1601020a","Instore Sampling2",1,"Grow awareness","OTS         ","Offer",2,116940.000000
"i2c1510020a","JS Magazine2",1,"Grow awareness","OTS         ","Offer",2,164338.000000
"i2c1507156a","Six Sheets1",2,"Grow awareness","OTS - unique","Offer",2,1511248.000000
"i2c1535KE0","Milk Media1",5,"Grow awareness","OTS         ","Offer",2,360325.000000
"i2c1509030a","Six Sheets1",1,"Grow awareness","OTS         ","Offer",2,5652511.000000
"i2c1510006a","Instore Sampling1",3,"Grow awareness","OTS         ","Offer",2,745560.000000
"i2c1510006a","Instore Sampling1",3,"Grow awareness","OTS - unique","Offer",2,413754.000000
"i2c1508107a","Six Sheets1",2,"Grow awareness","OTS         ","Offer",2,6749570.000000
"i2c1508107a","Six Sheets1",2,"Grow awareness","OTS - unique","Offer",2,1989346.000000
"i2c1510020a2","Trolleys2",1,"Grow awareness","OTS         ","Offer",2,7567122.000000
"i2c1510020a2","Entrance Gates1",1,"Grow awareness","OTS - unique","Offer",2,1359940.000000
"i2c1509131a","Instore Sampling1",3,"Grow awareness","OTS - unique","Offer",2,282498.000000
"i2c1508186a2","Entrance Gates1",1,"Grow awareness","OTS - unique","Offer",2,1678073.000000
"i2c1509106a2","Entrance Gates1",3,"Grow awareness","OTS         ","Offer",2,60665724.000000
"i2c1510020a","JS Magazine3",1,"Grow awareness","OTS - unique","Offer",2,138336.000000
"i2c1507161a","Car Park Posters1",1,"Grow awareness","OTS - unique","Offer",2,2777611.000000
"i2c1509029a","Instore Sampling1",3,"Grow awareness","OTS - unique","Offer",2,319284.000000
"i2c1510108a","Instore Sampling3",1,"Grow awareness","OTS         ","Offer",2,62309.000000
"i2c1510108a","Instore Sampling2",1,"Grow awareness","OTS         ","Offer",2,339329.000000
"i2c1510046a","Instore Sampling5",1,"Grow awareness","OTS         ","Offer",2,28284.000000
"i2c1510046a","Instore Sampling3",1,"Grow awareness","OTS         ","Offer",2,337699.000000
"i2c1510046a","Instore Sampling1",1,"Grow awareness","OTS - unique","Offer",2,53121.000000
"i2c1510046a","Instore Sampling3",1,"Grow awareness","OTS - unique","Offer",2,184810.000000
"i2c1510108a","Instore Sampling1",1,"Grow awareness","OTS - unique","Offer",2,22837.000000
"i2c1510108a","Instore Sampling3",1,"Grow awareness","OTS - unique","Offer",2,34605.000000
"i2c1510108a","Instore Sampling5",1,"Grow awareness","OTS - unique","Offer",2,3516.000000
"i2cLYNX111","TV Wall1",3,"Grow awareness","OTS - unique","Offer",2,1602676.000000
"i2c1510047a","Instore Sampling3",2,"Grow awareness","OTS         ","Offer",2,286690.000000
"i2c1510047a","Instore Sampling2",2,"Grow awareness","OTS - unique","Offer",2,147816.000000
"i2c1510047a","Instore Sampling3",2,"Grow awareness","OTS - unique","Offer",2,173052.000000
"i2c1507156a","TV Wall1",2,"Grow awareness","OTS - unique","Offer",2,4922121.000000
"i2c1508013a","Aisle Fins1",3,"Grow awareness","OTS         ","Offer",2,1851378.000000
"i2cLYNX444","TV Wall1",3,"Grow awareness","OTS         ","Offer",2,15273888.000000
"i2c1509014a","Total",3,"Grow awareness","OTS         ","Offer",2,18735273.000000
"i2c1509131a","Total",3,"Grow awareness","OTS - unique","Offer",2,282498.000000
"i2c1508040a","Total",2,"Grow awareness","OTS - unique","Offer",2,3411432.000000
"i2c1507141a","Total",2,"Grow awareness","OTS         ","Offer",2,7627292.000000
"i2c1511005a","Instore Sampling2",1,"Grow awareness","OTS - unique","Offer",2,14776.000000
"i2c1510020a2","JS Magazine2",1,"Grow awareness","OTS         ","Offer",2,164338.000000
"i2c1510020a2","JS Magazine2",1,"Grow awareness","OTS - unique","Offer",2,138336.000000
"i2c1509106a2","Six Sheets1",3,"Grow awareness","OTS         ","Offer",2,5350593.000000
"i2c1509014a","JS Magazine1",3,"Grow awareness","OTS         ","Offer",2,264830.000000
"i2c1508013a","Milk Media1",3,"Grow awareness","OTS - unique","Offer",2,356252.000000
"i2c1510108a","TV Wall1",1,"Grow awareness","OTS - unique","Offer",2,5325638.000000
"i2c1507156a","JS Magazine1",2,"Grow awareness","OTS         ","Offer",2,192513.000000
"i2c1510047a","JS Magazine2",2,"Grow awareness","OTS - unique","Offer",2,135346.000000
"i2c1507156a","JS Magazine1",2,"Grow awareness","OTS - unique","Offer",2,161532.000000
"i2cLYNX555","TV Wall1",3,"Grow awareness","OTS         ","Offer",2,18942391.000000
"i2c1511005a","Entrance Gates1",1,"Grow awareness","OTS         ","Offer",2,18413482.000000
"i2c1511005a","Instore Sampling1",1,"Grow awareness","OTS         ","Offer",2,540218.000000
"i2c1511005a","Instore Sampling1",1,"Grow awareness","OTS - unique","Offer",2,295264.000000
"i2c1511005a","Instore Sampling3",1,"Grow awareness","OTS - unique","Offer",2,4652.000000
"i2c1509106a","Six Sheets1",3,"Grow awareness","OTS         ","Offer",2,30332862.000000
"i2c1507141a","Six Sheets1",2,"Grow awareness","OTS - unique","Offer",2,901901.000000
"i2c1508250a","Six Sheets1",3,"Grow awareness","OTS - unique","Offer",2,1377181.000000
"i2c1511135a","Instore Sampling1",2,"Grow awareness","OTS - unique","Offer",2,254886.000000
"i2c1508186a","Trolleys1",1,"Grow awareness","OTS         ","Offer",2,8140560.000000
"i2c1508013a","Milk Media1",3,"Grow awareness","OTS         ","Offer",2,993343.000000
"i2c1508250a","Total",3,"Grow awareness","OTS - unique","Offer",2,1377181.000000
"i2c1510006a","Total",3,"Grow awareness","OTS - unique","Offer",2,413754.000000
"i2c1511135a","Total",2,"Grow awareness","OTS - unique","Offer",2,1505939.000000
"i2cLYNX777","Total",3,"Grow awareness","OTS - unique","Offer",2,3788465.000000
"i2c1510047a","Total",2,"Grow awareness","OTS         ","Offer",2,6793767.000000
"i2c1509101a","Total",3,"Grow awareness","OTS         ","Offer",2,206581.000000
"i2c1507076a","Total",3,"Grow awareness","OTS         ","Offer",2,2532236.000000
"i2c1509048a","Instore Sampling1",1,"Grow awareness","OTS         ","Offer",2,484261.000000
"i2c1509067a","Instore Sampling2",1,"Grow awareness","OTS         ","Offer",2,12231.000000
"i2c1509067a","Instore Sampling4",1,"Grow awareness","OTS         ","Offer",2,4885.000000
"i2c1509067a","Instore Sampling2",1,"Grow awareness","OTS - unique","Offer",2,6791.000000
"i2c1509131a","Instore Sampling1",3,"Grow awareness","OTS         ","Offer",2,550764.000000
"i2c1510116a","Instore Sampling4",2,"Grow awareness","OTS         ","Offer",2,17667.000000
"i2c1510116a","Instore Sampling5",2,"Grow awareness","OTS - unique","Offer",2,2238.000000
"i2cLYNX333","TV Wall1",3,"Grow awareness","OTS - unique","Offer",2,2723836.000000
"i2c1508179a","JS Magazine1",1,"Grow awareness","OTS         ","Offer",2,264830.000000
"i2c1507161a","Six Sheets1",1,"Grow awareness","OTS         ","Offer",2,8185805.000000
"i2c1510020a","JS Magazine3",1,"Grow awareness","OTS         ","Offer",2,164338.000000
"i2c1510020a","JS Magazine1",1,"Grow awareness","OTS - unique","Offer",2,220443.000000
"i2cLYNX111","TV Wall1",3,"Grow awareness","OTS         ","Offer",2,3853403.000000
"i2c1510047a","Instore Sampling2",2,"Grow awareness","OTS         ","Offer",2,252050.000000
"i2c1510047a","Instore Sampling1",2,"Grow awareness","OTS         ","Offer",2,504115.000000
"i2c1510047a","Six Sheets1",2,"Grow awareness","OTS         ","Offer",2,5326235.000000
"i2c1509106a","Total",3,"Grow awareness","OTS - unique","Offer",2,5552047.000000
"i2cLYNX444","Total",3,"Grow awareness","OTS - unique","Offer",2,3065851.000000
"i2c1509029a","Total",3,"Grow awareness","OTS - unique","Offer",2,319284.000000
"i2c1510046a","Total",1,"Grow awareness","OTS         ","Offer",2,790860.000000
"i2c1508040a","Total",2,"Grow awareness","OTS         ","Offer",2,13685998.000000
"i2c1509106a","Total",3,"Grow awareness","OTS         ","Offer",2,30332862.000000
"i2c1509048a","Total",1,"Grow awareness","OTS - unique","Offer",2,272926.000000
"i2c1507161a","Total",1,"Grow awareness","OTS         ","Offer",2,19711626.000000
"i2c1508186a","Total",1,"Grow awareness","OTS - unique","Offer",2,3628842.000000
"i2c1509030a","Total",1,"Grow awareness","OTS         ","Offer",2,5917341.000000
"i2c1508186a","Total",1,"Grow awareness","OTS         ","Offer",2,25196228.000000
"i2c1509067a","Instore Sampling3",1,"Grow awareness","OTS         ","Offer",2,12670.000000
"i2c1509067a","Instore Sampling1",1,"Grow awareness","OTS - unique","Offer",2,101246.000000
"i2c1510020a2","Entrance Gates1",1,"Grow awareness","OTS         ","Offer",2,10484120.000000
"i2c1508186a2","Trolleys1",1,"Grow awareness","OTS         ","Offer",2,8140560.000000
"i2c1510020a","JS Magazine1",1,"Grow awareness","OTS         ","Offer",2,264830.000000
"i2c1510020a","JS Magazine2",1,"Grow awareness","OTS - unique","Offer",2,138336.000000
"i2c1509029a","Instore Sampling1",3,"Grow awareness","OTS         ","Offer",2,595668.000000
"i2cLYNX222","TV Wall1",3,"Grow awareness","OTS - unique","Offer",2,2295745.000000
"i2c1510047a","Instore Sampling1",2,"Grow awareness","OTS - unique","Offer",2,283840.000000
"i2c1508013a","Aisle Fins1",3,"Grow awareness","OTS - unique","Offer",2,1327636.000000
"i2cLYNX444","TV Wall1",3,"Grow awareness","OTS - unique","Offer",2,3065851.000000
"i2c1507203a","Instore Sampling1",3,"Grow awareness","OTS         ","Offer",2,215945.000000
"i2c1509067a","Total",1,"Grow awareness","OTS - unique","Offer",2,118123.000000
"i2cLYNX555","TV Wall1",3,"Grow awareness","OTS - unique","Offer",2,3313445.000000
