MASTER_CAMPAIGN_ID,MEDIA_TYPE,OBJ_PRIORITY,OBJECTIVE,METRIC,PRODUCT,TIMEPERIOD,EXPOSED,CONTROL,UPLIFT,PCT_UPLIFT
"i2c1507074aM","JS Magazine",1,"Grow total units","Units          ","Offer     ",2,143.000000,101.499769,41.500231,0.408870
"i2c1509125a","TV Wall1",3,"Grow share of category","SOW            ","Brand         ",3,0.501150,0.512690,-0.011540,-0.022510
"i2c1509107a2","Six Sheets1, Six Sheets2",1,"Acquire new customers","New_custs      ","Brand     ",2,1476.000000,1134.000000,342.000000,0.301587
"i2c1507187a","Entrance Gates1",3,"Retain new customers (trialists)","New_trialists  ","Offer         ",3,336.000000,326.854317,9.145683,0.027981
"i2c1509014a","Other",1,"Launch new product","New_custs      ","Offer     ",2,603.000000,96.051990,506.948010,5.277850
"i2c1509014a","Other",2,"Acquire new customers","New_custs      ","Offer     ",2,603.000000,96.051990,506.948010,5.277850
"i2c1510003aH","Six Sheets1",5,"Grow total category","Known_spend    ","Aisle           ",2,967037.520000,857754.916148,109282.603852,0.127405
"i2c1510047a","JS Magazine1, JS Magazine2",1,"Acquire new customers","New_custs      ","Brand         ",3,68.000000,38.000000,30.000000,0.789474
"i2c1510047a","JS Magazine2",1,"Acquire new customers","New_custs      ","Brand         ",3,22.000000,9.000875,12.999125,1.444207
"i2c1510047a","Instore Sampling1",1,"Acquire new customers","New_custs      ","Brand         ",2,535.000000,385.051409,149.948591,0.389425
"i2c1510047a","Six Sheets1, Instore Sampling2",3,"Grow total units","Units          ","Brand         ",3,4114.000000,4486.681592,-372.681592,-0.083064
"i2c1510013a","Entrance Gates1",3,"Grow share of category","SOW            ","Offer     ",2,0.026635,0.026093,0.000542,0.020760
"i2c1506032M2","Total",1,"Grow total units","Units          ","Offer     ",2,407.000000,279.551524,127.448476,0.455903
"i2c1506032M2","Total",1,"Grow total units","Units          ","Offer     ",3,861.000000,609.141539,251.858461,0.413465
"i2c1512022P","TV Wall1",3,"Grow total category","Known_spend    ","Aisle          ",2,571057.360000,496913.634135,74143.725865,0.149208
