MASTER_CAMPAIGN_ID,PERIOD,PERIOD_DATE
"i2c1510145a",1,2015-10-07
"i2c1510145a",2,2015-12-29
"i2c1510145a",3,2015-12-30
"i2c1510145a",4,2016-01-19
"i2c1510145a",5,2016-01-20
"i2c1510145a",6,2016-03-01
"i2cNEW-TOOL",1,2015-08-04
"i2cNEW-TOOL",2,2015-10-26
"i2cNEW-TOOL",3,2015-10-27
"i2cNEW-TOOL",4,2015-12-01
"i2cNEW-TOOL",5,2015-12-02
"i2cNEW-TOOL",6,2016-01-12
"i2c1509002a",1,2015-06-03
"i2c1509002a",2,2015-08-25
"i2c1509002a",3,2015-08-26
"i2c1509002a",4,2015-08-30
"i2c1509002a",5,2015-08-31
"i2c1509002a",6,2015-10-11
"i2c1509029a",1,2015-08-06
"i2c1509029a",2,2015-10-28
"i2c1509029a",3,2015-10-29
"i2c1509029a",4,2015-10-30
"i2c1509029a",5,2015-10-31
"i2c1509029a",6,2015-12-11
"i2cFAIFEV4",1,2015-08-10
"i2cFAIFEV4",2,2015-11-01
"i2cFAIFEV4",3,2015-11-02
"i2cFAIFEV4",4,2015-11-15
"i2cFAIFEV4",5,2015-11-16
"i2cFAIFEV4",6,2015-12-27
"i2c1508257aS",1,2015-08-04
"i2c1508257aS",2,2015-10-26
"i2c1508257aS",3,2015-10-27
"i2c1508257aS",4,2015-12-01
"i2c1508257aS",5,2015-12-02
"i2c1508257aS",6,2016-01-12
"i2cVENUSV4",1,2015-09-21
"i2cVENUSV4",2,2015-12-13
"i2cVENUSV4",3,2015-12-14
"i2cVENUSV4",4,2016-01-03
"i2cVENUSV4",5,2016-01-04
"i2cVENUSV4",6,2016-02-14
"i2cLYNX666",1,2015-11-15
"i2cLYNX666",2,2016-02-06
"i2cLYNX666",3,2016-02-07
"i2cLYNX666",4,2016-03-19
"i2c1509107a6",1,2015-08-10
"i2c1509107a6",2,2015-11-01
"i2c1509107a6",3,2015-11-02
"i2c1509107a6",4,2015-11-15
"i2c1504050aM",1,2015-01-13
"i2c1510003aG",1,2015-09-21
"i2c1504050aM",2,2015-04-06
"i2c1510003aG",2,2015-12-13
"i2c1504050aM",3,2015-04-07
"i2c1510003aG",3,2015-12-14
"i2c1504050aM",4,2015-05-05
"i2c1510003aG",4,2016-01-03
"i2c1504050aM",5,2015-05-06
"i2c1504050aM",6,2015-07-28
"i2c1509069a",1,2015-07-23
"i2c1509069a",2,2015-10-14
"i2c1509069a",3,2015-10-15
"i2c1509069a",4,2015-10-16
