MASTER_CAMPAIGN_ID,MEDIA_TYPE,OBJ_PRIORITY,OBJECTIVE,METRIC,PRODUCT,TIMEPERIOD,EXPOSED,CONTROL,UPLIFT,PCT_UPLIFT
i2c1510047a,Six Sheets1,1,Acquire new customers,New_custs,Offer,2,9174,7119.150843,2054.849157,0.288637
i2c1510047a,"Six Sheets1, Instore Sampling3",1,Acquire new customers,New_custs,Brand,2,4381,2801.144687,1579.855313,0.564003
i2c1510047a,"Instore Sampling1, Six Sheets1",3,Grow total units,Units,Brand,2,24236,16677.04709,7558.95291,0.453255
i2c1507187a,Total,1,Grow frequency of shop per customer,FOP,Brand,3,1.221709,1.231757,-0.010048,-0.008158
i2c1507187a,TV Wall1,2,Acquire new customers,New_custs,Offer,3,1913,1115.364157,797.635843,0.715135
i2c1507187a,"Entrance Gates1, Six Sheets1",3,Retain new customers (trialists),New_trialists,Brand,3,3622,3359.997006,262.002994,0.077977
i2c1509134a,Total,2,Grow spend per existing customer,SPEC,Offer,3,4.491312,4.544146,-0.052834,-0.011627
i2c1509134a,Total,0,Overview,Units,Offer,2,144887,110919.663,33967.33703,0.306234
i2c1509134a,Total,0,Overview,Units,Offer,3,120072,115280.7935,4791.206478,0.041561
i2c1507187a,Total,0,Overview,Units,Brand,2,547557,487753.4346,59803.56542,0.12261
i2c1507187a,"Six Sheets1, TV Wall1",0,Overview,Known_spend,Brand,2,67262.37,57031.74442,10230.62558,0.179385
i2c1510047a,"JS Magazine1, Six Sheets1",1,Acquire new customers,New_custs,Offer,3,27,15,12,0.8
i2c1509134a,Six Sheets1,1,Retain existing customers,Existing_custs,Brand,3,3598,3709.276927,-111.276927,-0.03
i2c1509134a,JS Magazine1,0,Overview,Known_spend,Brand,3,14723.26,12636.7225,2086.537501,0.165117
i2c1507187a,"Entrance Gates1, Six Sheets1",2,Acquire new customers,New_custs,Brand,2,5151,4172.377423,978.622577,0.234548
i2c1507187a,Six Sheets1,3,Retain new customers (trialists),New_trialists,Brand,3,8128,8053.700733,74.299267,0.009225
i2c1509134a,"Six Sheets1, TV Wall1",0,Overview,Units,Offer,2,18709,14515.7303,4193.269696,0.288878
i2c1509134a,"Six Sheets1, TV Wall1",0,Overview,Units,Offer,3,15715,15173.72237,541.277628,0.035672
i2c1507187a,TV Wall1,0,Overview,Known_spend,Brand,2,523068.01,472028.2538,51039.75616,0.108129
i2c1510047a,"JS Magazine1, Six Sheets1",0,Overview,Known_spend,Offer,2,2383,1349.193122,1033.806878,0.766241
i2c1507187a,Six Sheets1,3,Retain new customers (trialists),New_trialists,Offer,3,545,504.094758,40.905242,0.081146
i2c1509134a,"JS Magazine1, TV Wall1",3,Grow total category,Known_spend,Aisle,2,150596.77,120967.5816,29629.18841,0.244935
i2c1509134a,"JS Magazine1, TV Wall1",0,Overview,Units,Offer,2,6398,4979.477674,1418.522326,0.284874
i2c1507187a,"Entrance Gates1, Six Sheets1",0,Overview,Known_spend,Brand,3,58278.31,55342.30725,2936.002751,0.053052
i2c1509134a,"Six Sheets1, TV Wall1",1,Retain existing customers,Existing_custs,Brand,2,6036,5996.0043,39.9957,0.00667
i2c1509134a,"JS Magazine1, TV Wall1",1,Retain existing customers,Existing_custs,Brand,2,2857,2558.109077,298.890923,0.116841
i2c1509134a,TV Wall1,3,Grow total category,Known_spend,Aisle,2,1830573.28,1578823.835,251749.445,0.159454
i2c1507187a,"Entrance Gates1, Six Sheets1, TV Wall1",3,Retain new customers (trialists),New_trialists,Offer,2,317,225.608656,91.391344,0.405088
i2c1509134a,TV Wall1,0,Overview,Units,Brand,2,101433,94293.35223,7139.647768,0.075717
i2c1507187a,"Entrance Gates1, TV Wall1",0,Overview,Units,Brand,3,162672,151072.1684,11599.83161,0.076783
i2c1507187a,Total,1,Grow frequency of shop per customer,FOP,Brand,2,1.105306,1.117933,-0.012627,-0.011295
i2c1507187a,TV Wall1,1,Grow frequency of shop per customer,FOP,Brand,2,1.102883,1.112304,-0.009421,-0.00847
i2c1507187a,Total,3,Retain new customers (trialists),New_trialists,Brand,2,59393,53072.59588,6320.404123,0.11909
i2c1507187a,"Entrance Gates1, TV Wall1",3,Retain new customers (trialists),New_trialists,Offer,2,1342,984.799057,357.200943,0.362715
i2c1509134a,"JS Magazine1, TV Wall1",1,Retain existing customers,Existing_custs,Brand,3,2851,2588.536883,262.463117,0.101394
i2c1509134a,TV Wall1,0,Overview,Known_spend,Offer,3,239296.77,230238.9978,9057.772229,0.039341
i2c1509134a,"JS Magazine1, TV Wall1",0,Overview,Known_spend,Offer,3,11802.68,11330.65906,472.020941,0.041659
i2c1509134a,Other,0,Overview,Units,Offer,2,1708,1392.278277,315.721723,0.226766
i2c1507187a,Total,0,Overview,Units,Brand,3,876804,831690.0888,45113.9112,0.054244
i2c1510047a,Instore Sampling1,0,Overview,Known_spend,Offer,3,2638,1997.628903,640.371097,0.320566
